title,CheckoutYear,CheckoutMonth,CheckoutCountt
"time travelers wife a novel",2006,1,93
"time travelers wife a novel",2006,2,119
"time travelers wife",2006,3,72
"time travelers wife",2006,4,70
"time travelers wife",2006,5,90
"time travelers wife a novel",2006,6,87
"time travelers wife a novel",2006,7,112
"time travelers wife a novel",2006,8,95
"time travelers wife",2006,9,98
"time travelers wife",2006,10,114
"time travelers wife a novel",2006,11,74
"time travelers wife",2006,12,45
"time travelers wife a novel",2007,1,42
"time travelers wife a novel",2007,2,49
"time travelers wife",2007,3,60
"time travelers wife a novel",2007,4,64
"time travelers wife a novel",2007,5,63
"time travelers wife a novel",2007,6,79
"time travelers wife",2007,7,85
"time travelers wife a novel",2007,8,84
"time travelers wife a novel",2007,9,44
"time travelers wife",2007,10,58
"time travelers wife a novel",2007,11,63
"time travelers wife a novel",2007,12,96
"time travelers wife a novel",2008,1,80
"time travelers wife a novel",2008,2,77
"time travelers wife a novel",2008,3,69
"time travelers wife a novel",2008,4,67
"time travelers wife",2008,5,76
"time travelers wife",2008,6,74
"time travelers wife",2008,7,74
"time travelers wife a novel",2008,8,73
"time travelers wife a novel",2008,9,61
"time travelers wife a novel",2008,10,46
"time travelers wife a novel",2008,11,66
"time travelers wife a novel",2008,12,40
"time travelers wife a novel",2009,1,71
"time travelers wife",2009,2,61
"time travelers wife",2009,3,65
"time travelers wife a novel",2009,4,61
"Sigan yohaengja ui anae The time travelers wife",2009,5,69
"Sigan yohaengja ui anae The time travelers wife",2009,6,77
"time travelers wife a novel",2009,7,79
"time travelers wife a novel",2009,8,152
"Sigan yohaengja ui anae The time travelers wife",2009,9,114
"time travelers wife a novel",2009,10,171
"time travelers wife",2009,11,174
"time travelers wife a novel",2009,12,146
"time travelers wife",2010,1,197
"time travelers wife a novel",2010,2,96
"time travelers wife",2010,3,220
"time travelers wife",2010,4,239
"time travelers wife",2010,5,188
"time travelers wife",2010,6,136
"time travelers wife",2010,7,100
"time travelers wife",2010,8,79
"time travelers wife",2010,9,45
"time travelers wife a novel",2010,10,53
"time travelers wife",2010,11,37
"time travelers wife",2010,12,53
"time travelers wife",2011,1,62
"time travelers wife",2011,2,52
"time travelers wife",2011,3,47
"time travelers wife",2011,4,29
"time travelers wife",2011,5,24
"time travelers wife",2011,6,56
"time travelers wife",2011,7,38
"time travelers wife",2011,8,18
"time travelers wife",2011,9,31
"time travelers wife",2011,10,13
"time travelers wife",2011,11,21
"time travelers wife",2011,12,10
"time travelers wife",2012,1,17
"time travelers wife",2012,2,15
"time travelers wife",2012,3,20
"time travelers wife",2012,4,13
"time travelers wife",2012,5,9
"time travelers wife",2012,6,18
"time travelers wife",2012,7,15
"time travelers wife",2012,8,18
"time travelers wife",2012,9,14
"time travelers wife",2012,10,10
"time travelers wife",2012,11,9
"time travelers wife",2012,12,6
"time travelers wife",2013,1,11
"time travelers wife",2013,2,8
"time travelers wife a novel",2013,3,9
"time travelers wife",2013,4,3
"time travelers wife",2013,5,7
"time travelers wife",2013,6,11
"time travelers wife a novel",2013,7,13
"time travelers wife a novel",2013,8,13
"time travelers wife",2013,9,10
"time travelers wife",2013,10,10
"time travelers wife a novel",2013,11,10
"time travelers wife",2013,12,12
"time travelers wife",2014,1,2
"time travelers wife a novel",2014,2,5
"time travelers wife",2014,3,7
"time travelers wife",2014,4,8
"time travelers wife",2014,5,7
"time travelers wife",2014,6,6
"time travelers wife",2014,7,8
"time travelers wife",2014,8,6
"time travelers wife",2014,9,7
"time travelers wife",2014,10,6
"time travelers wife",2014,11,1
"time travelers wife",2014,12,6
